N131,N132,N211,N212,N221,N222,N231,N232,N311,N312,N321,N322,L,N131,N132,N211,N212,N221,N222,N231
4,22,84,42,84,12,84,16,84,42,84,18,84,12,84,22,84,22,84,1
3,32,42,32,42,32,42,32,42,32,42,32,42,32,42,32,42,52,58,1
5,22,38,42,110,12,20,18,16,42,110,16,26,12,30,22,38,32,42,1
5,26,24,68,42,28,6,12,12,68,42,12,12,28,6,26,10,28,24,1
6,22,18,42,42,12,4,16,6,42,42,6,8,16,14,16,18,22,20,1
6,24,20,84,42,24,20,24,20,84,42,24,20,24,22,24,20,24,22,1
6,20,20,30,42,8,12,26,20,30,42,38,20,8,12,20,20,40,22,1
4,26,32,42,32,14,32,14,32,42,32,14,32,14,32,26,32,40,52,1
6,12,26,30,56,12,26,12,24,30,56,12,24,12,26,12,26,14,26,1
5,40,14,126,30,40,14,20,14,126,30,20,16,40,18,40,14,40,26,1
5,14,42,68,42,14,32,14,42,68,42,14,42,14,32,14,42,14,42,1
5,26,22,68,42,26,16,28,22,68,42,28,20,32,16,26,22,26,22,1
5,8,26,30,56,6,22,8,26,30,56,8,26,4,24,8,26,30,26,1
6,30,8,42,30,20,10,20,26,42,30,20,40,20,10,30,8,32,42,1
5,32,14,32,42,32,6,32,12,32,42,32,12,32,8,32,14,52,20,1
6,16,18,40,30,4,14,14,18,40,30,4,14,8,18,16,18,18,18,1
4,32,30,32,42,32,42,32,30,32,42,32,30,32,42,32,30,52,34,1
6,8,18,30,42,16,18,4,14,30,42,4,14,22,26,8,18,34,18,1
7,20,20,42,30,12,12,12,12,42,30,12,14,22,12,20,12,20,30,1
6,16,20,60,30,8,20,6,20,60,30,12,20,10,20,14,20,36,20,1
5,8,18,30,42,4,18,6,18,30,42,4,18,4,18,8,18,8,18,1
6,14,30,18,42,6,30,28,30,18,42,16,40,6,30,10,30,26,32,1
6,20,68,30,110,20,68,6,72,30,110,6,72,20,70,20,68,30,68,1
6,12,18,30,48,12,10,12,20,30,48,12,12,12,10,12,18,12,20,1
5,18,18,70,30,4,12,4,14,70,30,2,12,6,14,18,14,20,22,1
6,22,20,40,30,24,12,22,12,40,30,22,14,24,12,12,20,22,22,1
6,20,30,30,60,12,30,12,30,30,60,12,34,12,30,20,30,24,30,1
5,24,12,24,42,24,14,24,18,24,42,24,18,24,14,24,12,52,16,1
6,8,24,30,68,8,8,8,40,30,68,8,40,20,16,8,24,24,24,1
5,22,20,70,30,12,14,14,14,70,30,12,14,12,16,22,14,22,22,1
5,14,32,18,110,14,22,14,20,18,110,14,14,14,22,14,32,16,34,1
6,12,18,74,42,12,8,14,12,74,42,12,12,12,10,12,18,12,20,1
5,24,12,24,42,24,10,24,8,24,42,24,8,24,10,24,12,52,20,1
7,12,18,42,24,12,20,14,22,42,24,12,18,14,16,12,18,20,24,1
5,12,42,30,42,6,32,14,56,30,42,14,44,6,44,12,42,22,52,1
5,60,10,84,68,60,2,64,8,84,68,64,14,60,6,60,10,62,26,1
5,18,20,30,70,16,20,14,22,30,70,16,20,20,30,14,20,20,22,1
6,20,20,68,30,20,20,20,12,68,30,20,12,20,20,20,20,32,20,1
6,20,20,30,42,12,22,26,20,30,42,32,20,14,20,20,20,32,22,1
5,16,42,68,42,4,72,8,42,68,42,16,30,6,84,16,42,20,42,1
6,36,10,40,18,24,6,28,6,40,18,28,6,28,14,24,10,52,26,1
5,12,32,42,32,6,32,8,32,42,32,8,32,14,32,12,32,14,52,1
5,20,32,42,32,12,32,16,32,42,32,16,32,18,32,20,32,22,52,1
6,22,28,68,42,14,28,22,50,68,42,22,36,14,36,22,28,22,28,1
5,26,12,56,30,22,12,26,14,56,30,26,12,24,12,26,12,26,26,1
6,20,16,42,16,20,10,20,10,42,16,20,10,20,24,20,16,30,20,1
6,40,12,126,30,40,12,56,12,126,30,56,12,40,12,40,12,40,42,1
6,14,60,42,30,12,42,12,30,42,30,12,30,26,72,14,30,16,60,1
7,18,20,18,30,6,8,8,20,18,30,8,20,8,8,8,20,22,24,1
6,20,30,42,42,12,20,32,30,42,42,20,30,14,20,20,30,28,30,1
5,60,14,84,60,60,2,60,14,84,60,60,14,62,4,60,14,84,26,1
6,20,72,30,72,14,40,20,40,30,72,22,40,16,40,20,72,20,110,1
5,42,22,42,30,42,8,42,8,42,30,40,8,46,8,42,20,42,26,1
5,12,18,30,42,12,18,12,10,30,42,12,10,12,22,12,18,48,22,1
6,20,56,30,74,12,72,14,40,30,74,12,40,12,56,12,56,22,56,1
6,12,20,20,30,12,12,12,12,20,30,12,12,12,12,12,20,34,20,1
5,42,22,42,68,14,8,14,14,42,68,14,8,24,14,42,22,42,22,1
7,20,40,32,42,12,40,20,40,32,42,20,40,12,42,20,40,30,40,1
6,12,22,20,30,12,14,12,14,20,30,12,14,20,14,12,18,22,22,1
5,12,14,24,30,12,16,10,14,24,30,10,14,12,12,12,14,16,40,1
6,68,20,68,18,14,4,24,8,68,18,28,10,14,8,68,8,72,30,1
6,14,22,30,26,4,8,10,8,30,26,10,8,4,8,14,14,30,32,1
6,40,20,60,30,12,20,28,20,60,30,28,20,28,20,40,20,42,26,1
7,14,20,30,30,14,20,12,20,30,30,12,20,14,22,14,20,32,20,1
6,20,14,30,30,20,14,20,6,30,30,20,10,20,14,20,14,28,18,1
6,12,60,42,60,14,60,12,84,42,60,14,60,22,60,12,60,20,60,1
5,12,56,30,56,24,56,14,42,30,56,16,42,12,56,12,56,42,56,1
6,50,20,42,60,14,20,14,20,42,60,20,20,42,20,30,20,50,20,1
5,14,22,30,42,6,10,26,22,30,42,20,22,6,10,14,22,28,26,1
6,8,32,18,40,8,20,8,20,18,40,14,20,10,26,8,20,34,32,1
6,12,32,30,68,14,20,6,54,30,68,14,32,14,20,12,32,14,32,1
6,22,22,42,32,22,6,22,14,42,32,24,20,22,14,22,22,32,22,1
6,18,14,30,20,14,8,14,8,30,20,14,6,14,10,18,8,22,18,1
5,18,42,42,42,14,42,18,30,42,42,12,30,12,58,18,42,20,42,1
6,30,20,30,30,30,8,30,20,30,30,30,20,30,8,30,20,30,30,1
5,30,20,30,42,30,12,30,20,30,42,30,20,40,12,30,20,82,30,1
7,14,12,30,38,14,12,14,12,30,38,16,12,14,12,14,12,16,22,1
5,18,20,42,30,8,12,10,20,42,30,10,20,10,12,10,20,26,20,1
7,28,12,42,30,24,6,28,6,42,30,28,8,28,6,28,12,28,16,1
6,60,20,84,30,60,20,64,12,84,30,64,12,60,20,60,20,62,30,1
5,18,18,42,24,24,18,14,18,42,24,14,18,24,22,18,18,24,22,1
5,22,50,42,30,32,20,20,50,42,30,20,30,32,20,22,30,22,50,1
5,18,14,24,30,12,14,20,20,24,30,22,14,22,20,18,14,20,32,1
7,24,20,26,30,24,8,42,8,26,30,34,8,32,8,24,8,40,24,1
6,12,30,30,30,12,30,6,62,30,30,8,40,12,30,12,30,18,30,1
5,20,22,30,42,20,30,20,24,30,42,20,24,20,30,20,22,32,30,1
6,14,20,30,30,4,12,6,20,30,30,6,20,4,20,14,20,30,38,1
6,18,12,24,30,14,12,20,12,24,30,14,12,16,12,18,12,26,24,1
6,6,18,40,30,6,18,10,14,40,30,6,14,8,18,6,18,10,18,1
6,18,14,24,42,16,6,14,12,24,42,14,6,30,6,18,14,22,18,1
6,22,12,30,20,14,2,22,24,30,20,22,8,18,2,18,8,22,18,1
6,24,18,42,24,12,18,16,30,42,24,18,14,20,18,24,18,36,24,1
6,8,26,30,32,4,14,12,14,30,32,10,14,14,22,8,26,18,26,1
6,14,18,30,24,4,18,6,26,30,24,4,14,4,14,14,18,24,22,1
6,16,14,32,30,12,12,8,14,32,30,10,14,16,12,16,14,16,16,1
6,20,26,42,32,20,14,20,14,42,32,22,14,20,30,20,26,28,26,1
6,14,30,30,30,4,14,6,30,30,30,6,14,4,28,14,30,22,30,1
6,12,18,42,24,8,18,8,18,42,24,8,18,12,32,12,18,22,20,1
7,14,4,30,20,10,6,10,6,30,20,10,10,10,12,14,4,20,26,1
6,20,30,30,30,20,14,8,32,30,30,8,30,20,14,20,30,22,30,1
