U1,N1,N2,N111,N112,N121,N122,N131,N132,N211,N212,N221,N222,N231,N232,N311,N312,N321,N322,L
6,14,40,26,72,32,42,26,72,32,42,26,72,32,42,26,72,32,42,0
8,10,24,24,42,26,40,24,42,26,40,24,42,26,40,24,42,26,40,0
7,10,16,26,32,24,34,26,32,24,34,26,32,24,34,26,32,24,34,0
7,10,16,24,34,24,34,26,32,26,32,24,34,24,34,26,32,26,32,0
7,14,24,32,42,26,40,32,42,26,40,32,42,26,40,32,42,26,40,0
8,14,10,28,24,30,22,28,24,30,22,28,24,30,22,28,24,30,22,0
7,10,14,24,26,26,28,24,26,26,28,24,26,26,28,24,26,26,28,0
8,10,14,26,44,24,26,26,28,24,42,26,44,24,26,26,28,24,42,0
7,24,14,42,32,42,32,40,26,40,26,42,32,42,32,40,26,40,26,0
7,10,22,24,42,26,28,24,42,26,28,24,42,26,28,24,42,26,28,0
7,22,10,44,26,26,24,44,26,26,24,44,26,26,24,44,26,26,24,0
8,10,14,24,28,22,30,24,28,22,30,24,28,22,30,24,28,22,30,0
8,24,10,42,24,42,24,40,26,40,26,42,24,42,24,40,26,40,26,0
7,10,40,24,60,24,60,22,42,22,42,24,60,24,60,22,42,22,42,0
7,10,40,24,60,22,42,24,60,22,42,24,60,22,42,24,60,22,42,0
8,10,10,44,26,28,26,26,24,26,24,44,26,28,26,26,24,26,24,0
5,12,12,28,84,28,52,28,52,28,52,28,84,28,52,28,52,28,52,0
8,10,24,24,42,26,40,24,42,26,40,24,42,26,40,24,42,26,40,0
8,10,10,26,28,24,26,24,42,26,28,26,28,24,26,24,42,26,28,0
7,40,10,72,26,42,24,72,26,42,24,72,26,42,24,72,26,42,24,0
9,20,8,72,32,72,24,72,24,56,24,72,32,72,24,72,24,56,24,0
7,16,10,62,22,56,24,62,22,56,24,62,22,56,24,62,22,56,24,0
7,10,40,24,60,22,42,24,60,22,42,24,60,22,42,24,60,22,42,0
7,10,30,24,60,22,30,24,60,22,30,24,60,22,30,24,60,22,30,0
7,10,40,26,72,24,42,26,72,24,42,26,72,24,42,26,72,24,42,0
8,24,10,72,26,42,24,40,26,42,24,72,26,42,24,40,26,42,24,0
6,16,14,72,32,72,32,62,22,62,22,72,32,72,32,62,22,62,22,0
7,40,10,72,26,72,26,42,24,42,24,72,26,72,26,42,24,42,24,0
7,30,10,60,24,30,22,60,24,30,22,60,24,30,22,60,24,30,22,0
9,12,10,42,22,26,22,28,24,28,24,42,22,26,22,28,24,28,24,0
7,10,40,24,74,24,74,26,40,26,40,24,74,24,74,26,40,26,40,0
7,24,14,72,26,42,32,40,26,42,32,72,26,42,32,40,26,42,32,0
8,14,10,30,22,30,22,28,24,28,24,30,22,30,22,28,24,28,24,0
10,10,6,26,28,24,26,26,28,24,26,26,28,24,26,26,28,24,26,0
8,8,22,26,44,24,26,26,28,24,42,26,44,24,26,26,28,24,42,0
6,40,14,72,26,42,32,72,26,42,32,72,26,42,32,72,26,42,32,0
8,24,10,42,24,72,26,40,26,42,24,42,24,72,26,40,26,42,24,0
8,14,10,30,22,30,22,28,24,28,24,30,22,30,22,28,24,28,24,0
9,10,6,24,28,24,28,22,30,22,30,24,28,24,28,22,30,22,30,0
6,14,40,32,74,26,40,32,74,26,40,32,74,26,40,32,74,26,40,0
8,24,10,40,26,40,26,42,24,42,24,40,26,40,26,42,24,42,24,0
7,10,40,26,40,26,40,24,74,24,74,26,40,26,40,24,74,24,74,0
8,10,24,24,28,22,42,24,28,22,42,24,28,22,42,24,28,22,42,0
9,12,10,28,24,42,22,28,24,26,22,28,24,42,22,28,24,26,22,0
7,22,10,44,26,44,26,26,24,26,24,44,26,44,26,26,24,26,24,0
7,40,10,40,26,74,24,40,26,74,24,40,26,74,24,40,26,74,24,0
7,22,10,42,42,42,42,32,44,32,36,42,42,42,42,32,44,32,36,0
8,10,8,24,34,24,34,26,32,26,32,24,34,24,34,26,32,26,32,0
8,12,10,56,24,62,22,62,22,56,32,56,24,62,22,62,22,56,32,0
8,10,20,24,72,32,72,22,62,22,62,24,72,32,72,22,62,22,62,0
9,20,8,42,42,30,42,42,42,30,42,42,42,30,42,42,42,30,42,0
8,14,10,60,24,30,22,28,24,30,22,60,24,30,22,28,24,30,22,0
8,24,10,42,22,42,22,28,24,28,24,42,22,42,22,28,24,28,24,0
8,22,8,42,42,42,42,32,36,32,36,42,42,42,42,32,36,32,36,0
8,22,8,42,42,32,36,42,42,32,36,42,42,32,36,42,42,32,36,0
7,10,16,24,28,22,26,24,28,22,26,24,28,22,26,24,28,22,26,0
7,14,10,26,24,26,24,28,26,28,26,26,24,26,24,28,26,28,26,0
7,40,10,40,26,74,24,40,26,74,24,40,26,74,24,40,26,74,24,0
7,16,10,72,24,62,22,72,24,62,22,72,24,62,22,72,24,62,22,0
5,12,12,60,32,28,24,28,24,28,32,60,32,28,24,28,24,28,32,0
7,10,16,24,28,24,28,22,26,22,26,24,28,24,28,22,26,22,26,0
9,10,12,24,34,26,32,24,42,26,40,24,34,26,32,24,42,26,40,0
9,8,12,24,56,24,72,24,56,32,56,24,56,24,72,24,56,32,56,0
8,10,10,42,24,28,26,26,24,28,26,42,24,28,26,26,24,28,26,0
8,10,24,24,42,24,42,26,72,26,40,24,42,24,42,26,72,26,40,0
9,20,8,42,42,42,42,30,42,30,42,42,42,42,42,30,42,30,42,0
7,40,10,72,26,42,24,72,26,42,24,72,26,42,24,72,26,42,24,0
9,8,20,42,42,42,30,42,30,42,42,42,42,42,30,42,30,42,42,0
9,12,8,72,24,56,32,56,24,56,24,72,24,56,32,56,24,56,24,0
6,40,14,74,32,74,32,40,26,40,26,74,32,74,32,40,26,40,26,0
9,10,6,22,30,22,30,24,28,24,28,22,30,22,30,24,28,24,28,0
7,10,22,42,42,44,32,42,42,36,32,42,42,44,32,42,42,36,32,0
6,40,14,72,32,126,22,72,32,62,22,72,32,126,22,72,32,62,22,0
8,8,22,42,42,36,32,42,42,36,32,42,42,36,32,42,42,36,32,0
8,10,10,26,28,26,28,24,26,24,26,26,28,26,28,24,26,24,26,0
7,24,14,74,32,40,26,42,32,40,26,74,32,40,26,42,32,40,26,0
9,8,20,42,42,42,30,42,30,42,42,42,42,42,30,42,30,42,42,0
9,20,8,72,24,72,32,72,24,56,24,72,24,72,32,72,24,56,24,0
8,12,10,62,22,56,32,62,22,56,24,62,22,56,32,62,22,56,24,0
5,12,28,32,28,32,60,24,28,24,60,32,28,32,60,24,28,24,60,0
7,22,10,28,26,28,26,42,24,42,24,28,26,28,26,42,24,42,24,0
7,10,18,26,44,26,28,24,42,24,26,26,44,26,28,24,42,24,26,0
9,20,8,72,24,62,22,62,22,72,24,72,24,62,22,62,22,72,24,0
7,30,10,60,24,60,24,30,22,30,22,60,24,60,24,30,22,30,22,0
9,8,12,42,30,42,26,42,30,42,26,42,30,42,26,42,30,42,26,0
9,12,8,30,42,26,42,26,42,30,42,30,42,26,42,26,42,30,42,0
5,12,12,28,52,28,84,28,52,28,52,28,52,28,84,28,52,28,52,0
7,10,14,44,32,42,26,42,26,36,32,44,32,42,26,42,26,36,32,0
9,20,8,40,26,42,24,42,24,40,26,40,26,42,24,42,24,40,26,0
9,10,6,26,28,24,26,26,28,24,26,26,28,24,26,26,28,24,26,0
8,10,14,26,28,24,26,26,44,24,42,26,28,24,26,26,44,24,42,0
8,20,10,72,24,62,22,62,22,72,32,72,24,62,22,62,22,72,32,0
9,14,8,28,26,28,26,26,24,26,24,28,26,28,26,26,24,26,24,0
7,16,10,72,24,72,24,62,22,62,22,72,24,72,24,62,22,62,22,0
10,10,6,24,28,22,30,24,28,22,30,24,28,22,30,24,28,22,30,0
5,12,28,24,60,24,28,32,28,32,60,24,60,24,28,32,28,32,60,0
6,24,10,60,24,60,24,26,22,26,22,60,24,60,24,26,22,26,22,0
7,10,16,24,72,22,62,22,62,24,72,24,72,22,62,22,62,24,72,0
7,10,16,24,72,22,62,24,72,22,62,24,72,22,62,24,72,22,62,0
7,24,14,42,32,42,32,40,26,72,26,42,32,42,32,40,26,72,26,0
8,24,10,40,26,42,24,40,26,74,24,40,26,42,24,40,26,74,24,0
8,24,10,40,26,40,26,42,24,74,24,40,26,40,26,42,24,74,24,0
5,28,12,28,24,28,32,60,24,60,32,28,24,28,32,60,24,60,32,0
7,30,10,60,24,60,24,30,22,30,22,60,24,60,24,30,22,30,22,0
8,10,24,26,40,24,42,26,40,24,74,26,40,24,42,26,40,24,74,0
8,10,8,24,34,26,32,24,34,26,32,24,34,26,32,24,34,26,32,0
7,10,14,26,28,24,26,32,26,26,28,26,28,24,26,32,26,26,28,0
7,24,14,72,32,62,22,72,32,62,22,72,32,62,22,72,32,62,22,0
9,10,6,24,28,22,30,24,28,22,30,24,28,22,30,24,28,22,30,0
5,12,12,28,84,28,52,28,52,28,52,28,84,28,52,28,52,28,52,0
9,20,8,42,42,42,42,30,42,30,42,42,42,42,42,30,42,30,42,0
9,8,20,42,42,42,30,42,30,42,42,42,42,42,30,42,30,42,42,0
7,22,10,42,42,32,44,32,36,42,42,42,42,32,44,32,36,42,42,0
7,22,10,42,42,32,36,32,44,42,42,42,42,32,36,32,44,42,42,0
7,10,14,44,32,42,26,36,32,42,26,44,32,42,26,36,32,42,26,0
8,14,8,32,36,26,42,32,36,26,42,32,36,26,42,32,36,26,42,0
5,12,28,24,60,24,28,32,28,32,60,24,60,24,28,32,28,32,60,0
4,12,36,28,84,28,84,28,52,28,52,28,84,28,84,28,52,28,52,0
5,12,12,28,84,28,52,28,52,28,52,28,84,28,52,28,52,28,52,0
7,10,22,42,42,36,32,42,42,44,32,42,42,36,32,42,42,44,32,0
7,24,14,42,32,74,32,40,26,40,26,42,32,74,32,40,26,40,26,0
8,8,16,26,32,24,34,24,42,26,40,26,32,24,34,24,42,26,40,0
4,36,12,84,28,52,28,84,28,52,28,84,28,52,28,84,28,52,28,0
8,10,14,24,60,24,28,22,30,22,30,24,60,24,28,22,30,22,30,0
7,40,10,60,24,60,24,42,22,42,22,60,24,60,24,42,22,42,22,0
8,8,14,36,32,36,32,42,26,42,26,36,32,36,32,42,26,42,26,0
9,8,20,24,72,22,62,24,72,22,62,24,72,22,62,24,72,22,62,0
5,12,12,28,84,28,52,28,52,28,52,28,84,28,52,28,52,28,52,0
6,14,16,32,72,22,62,32,72,22,62,32,72,22,62,32,72,22,62,0
7,14,10,32,44,26,42,32,36,26,42,32,44,26,42,32,36,26,42,0
5,28,12,60,32,28,24,28,32,60,24,60,32,28,24,28,32,60,24,0
8,12,10,56,24,62,22,56,32,62,22,56,24,62,22,56,32,62,22,0
9,12,10,42,22,28,24,26,22,28,24,42,22,28,24,26,22,28,24,0
7,10,18,26,44,24,42,26,28,24,26,26,44,24,42,26,28,24,26,0
5,12,12,28,84,28,52,28,52,28,52,28,84,28,52,28,52,28,52,0
7,22,10,32,44,42,42,32,36,42,42,32,44,42,42,32,36,42,42,0
8,10,20,24,72,22,62,32,72,22,62,24,72,22,62,32,72,22,62,0
8,10,10,44,26,26,24,28,26,26,24,44,26,26,24,28,26,26,24,0
9,8,20,24,72,22,62,24,72,22,62,24,72,22,62,24,72,22,62,0
7,22,10,42,42,32,36,32,44,42,42,42,42,32,36,32,44,42,42,0
8,10,10,28,26,26,24,28,26,26,24,28,26,26,24,28,26,26,24,0
8,16,8,40,26,32,26,42,24,34,24,40,26,32,26,42,24,34,24,0
8,20,10,72,32,62,22,72,24,62,22,72,32,62,22,72,24,62,22,0
5,28,12,28,32,60,24,60,32,28,24,28,32,60,24,60,32,28,24,0
9,8,20,24,42,24,42,26,40,26,40,24,42,24,42,26,40,26,40,0
6,16,14,72,32,62,22,62,22,72,32,72,32,62,22,62,22,72,32,0
5,56,10,126,42,126,42,58,42,58,34,126,42,126,42,58,42,58,34,0
6,16,14,72,32,62,22,72,32,62,22,72,32,62,22,72,32,62,22,0
8,24,10,72,26,42,24,40,26,42,24,72,26,42,24,40,26,42,24,0
5,12,12,84,28,52,28,52,28,52,28,84,28,52,28,52,28,52,28,0
5,12,12,60,32,28,24,28,32,28,24,60,32,28,24,28,32,28,24,0
7,18,10,44,26,42,24,28,26,26,24,44,26,42,24,28,26,26,24,0
8,10,10,26,28,24,26,26,28,24,26,26,28,24,26,26,28,24,26,0
7,10,16,22,42,24,28,24,28,22,42,22,42,24,28,24,28,22,42,0
9,8,12,42,30,42,30,42,26,42,26,42,30,42,30,42,26,42,26,0
7,16,10,42,22,28,24,42,22,28,24,42,22,28,24,42,22,28,24,0
7,22,10,42,42,32,36,42,42,32,44,42,42,32,36,42,42,32,44,0
8,24,10,42,24,40,26,74,24,40,26,42,24,40,26,74,24,40,26,0
9,8,20,42,30,42,42,42,30,42,42,42,30,42,42,42,30,42,42,0
7,14,24,32,72,22,62,32,72,22,62,32,72,22,62,32,72,22,62,0
7,22,10,42,42,32,36,42,42,32,44,42,42,32,36,42,42,32,44,0
5,12,12,60,32,28,32,28,24,28,24,60,32,28,32,28,24,28,24,0
6,10,24,24,60,22,26,24,60,22,26,24,60,22,26,24,60,22,26,0
5,12,12,32,60,24,28,32,28,24,28,32,60,24,28,32,28,24,28,0
5,12,12,60,32,28,32,28,24,28,24,60,32,28,32,28,24,28,24,0
8,12,10,56,24,62,22,56,32,62,22,56,24,62,22,56,32,62,22,0
9,8,12,42,30,42,26,42,26,42,30,42,30,42,26,42,26,42,30,0
7,22,10,42,42,32,36,42,42,32,44,42,42,32,36,42,42,32,44,0
8,8,10,28,24,28,24,26,22,26,22,28,24,28,24,26,22,26,22,0
8,10,10,26,24,28,26,28,26,26,24,26,24,28,26,28,26,26,24,0
5,12,12,28,52,28,52,28,52,28,84,28,52,28,52,28,52,28,84,0
7,10,16,22,62,24,56,22,62,24,56,22,62,24,56,22,62,24,56,0
8,8,14,42,26,36,32,42,26,36,32,42,26,36,32,42,26,36,32,0
8,8,14,36,32,42,26,36,32,42,26,36,32,42,26,36,32,42,26,0
6,40,14,72,32,126,22,72,32,62,22,72,32,126,22,72,32,62,22,0
7,22,10,42,42,42,42,32,36,32,44,42,42,42,42,32,36,32,44,0
